code,title
5813,"Publishing of newspapers, journals and periodicals"
5819,Other publishing activities
5820,Software publishing
5911,"Motion picture, video, television and other programme production activities"
5912,"Motion picture, video, television and other programme post-production activities"
5913,"Motion picture, video, television and other programme distribution activities"
5914,Motion picture projection activities
5919,"Other motion picture, video, television and programme related activities"
5920,Sound recording and music publishing activities
6010,Radio programme production and broadcasting
6020,Television programming and broadcasting
6101,Telecommunications network operation
6109,Other telecommunications activities
6201,Computer programming activities
6202,Computer consultancy and computer facilities management activities
6209,Other information technology and computer service activities
6311,"Data processing, hosting and related activities"
6312,Web portals
6390,Other information service activities
6411,Central bank
6412,Full banks
6413,Wholesale banks
6414,Offshore banks
6415,Merchant banks
6416,Finance companies
6419,Other monetary intermediation
6420,Activities of holding companies
6430,"Trusts, funds and similar financial entities"
6491,Financial leasing
6492,Other credit granting
6499,"Financial service activities, except insurance and pension funding activities n.e.c."
6511,Life insurance (insurance underwriting)
6512,General insurance (insurance underwriting)
6520,Reinsurance
6530,Provident and pension funding
6611,Administration of financial markets
6612,Security and commodity contracts brokerage
6619,Other activities auxiliary to financial service activities
6621,Risk and damage evaluation
6622,Activities of insurance intermediaries
6629,Other activities auxiliary to insurance and pension funding
6630,Fund management activities
6810,Real estate activities with own or leased property
6820,Real estate activities on a fee or contract basis
6910,Legal activities
6920,"Accounting, book-keeping and auditing activities; tax consultancy"
7010,Activities of head offices and business representative offices
7020,Business and management consultancy activities
7111,Architectural and surveying activities
7112,Engineering design and consultancy activities
7120,Technical testing and analysis services
7210,Research and experimental development on natural sciences and engineering
7220,Research and experimental development on social sciences and humanities
7310,Advertising
7320,Market research and public opinion polling
7411,Product and industrial design activities
7419,Other specialised design activities
7420,Photographic activities
7490,"Professional, scientific and technical activities n.e.c."
7500,Veterinary activities
7710,Renting and leasing of motor vehicles
7721,Renting and leasing of recreational and sports goods
7722,Renting of vcds and dvds
7729,Renting and leasing of other personal and household goods
7731,Renting of water transport equipment
7732,Renting of air transport equipment
7733,Renting of construction and civil engineering machinery and equipment
7734,Renting of office machinery and equipment (including computers)
7739,"Renting of machinery, equipment and tangible goods n.e.c."
7740,Leasing of non-financial intangible assets
7810,Employment and recruitment agencies
7830,Management of human resource functions
7910,Travel agencies and tour operators activities
7990,Other reservation service activities
8000,Security and investigation activities
8101,Stone quarrying
8102,Quarrying of sand and clay
8121,General cleaning services
8129,Other cleaning services
8130,"Landscape planting, care and maintenance service activities"
8211,Combined office administrative service activities
8219,"Photocopying, document preparation and other specialised office support activities"
8220,Activities of call centres
8230,"Convention, trade show, concert and other event organisers"
8291,Activities of collection agencies and credit bureaus
8292,Packaging activities
8299,Other business support service activities n.e.c.
8411,General public administration
8412,Public administration of economic and social programmes
8421,Foreign affairs
8422,Defence activities
8423,Public order and safety activities
8510,Pre-primary and primary education
8521,General secondary and post-secondary non-tertiary education
8522,Technical and vocational (secondary and post-secondary non-tertiary) education
8530,Higher education
8541,Sports and recreation education
8542,Cultural education (non-academic)
8549,Education n.e.c.
8550,Educational support services
8610,Hospital activities
8620,Medical and dental practice activities
8690,Other health services
8701,Residential nursing care facilities
8702,Other residential care services
8810,Social services without accommodation for the elderly and disabled
8891,"Social services without accommodation for children, youth and families"
8892,Community activities
8899,Social services without accommodation n.e.c.
8900,Other mining and quarrying
9000,"Creative, arts and entertainment activities"
9001,Crude petroleum and natural gas production
9002,"Service activities incidental to oil and gas extraction (excluding surveying and engineering design and consultancy services supporting mining, oil and gas extraction and offshore exploration activities)"
9101,Libraries and archives activities
9102,Museums activities and operation of historical sites and buildings
9103,Botanical and zoological gardens and nature reserves activities
9200,Gambling and betting activities
9311,Operation of sports facilities
9312,Activities of sports clubs and related activities
9320,Other amusement and recreation activities
9411,Activities of business and employers' membership organisations
9412,Activities of professional membership organisations
9420,Activities of trade unions
9491,Activities of religious organisations
9492,Activities of political organisations
9499,Activities of other membership organisations n.e.c.
9511,Repair of computers and peripheral equipment
9512,Repair of communications equipment
9521,Repair of consumer electronics
9522,Repair of household appliances and home and garden equipment
9523,Repair of footwear and leather goods
9524,Repair of furniture and home furnishings
9529,Repair of other personal and household goods
9530,Repair and maintenance (including inspection) of vehicles
9601,Washing and (dry-) cleaning of textile and fur products
9602,"Hairdressing, beauty and other personal care services"
9603,Funeral and related activities
9604,Wedding and related activities
9609,Other personal service activities n.e.c.
9700,Activities of households as employers of domestic personnel
9901,Foreign embassies and trade representative offices
9902,Foreign armed forces
9909,Other extra-territorial organisations and bodies
10101,Slaughtering of livestock
10102,Slaughtering of poultry
10103,Manufacture of sausage
10104,"Preparing, canning and preserving of livestock and livestock products (including lard and other edible animal fats)"
10105,"Preparing, canning and preserving of poultry and poultry products"
10109,Processing and preserving of meat and meat products n.e.c.
10201,Canning of fish and other seafood
10202,"Processing, curing and preserving (other than canning) of fish and other seafood"
10301,Manufacture of jams (including fruit jelly)
10302,Other canning and preserving of fruits and fruit juices
10303,Other canning and preserving of vegetables and vegetable juices (including pickles)
10401,Manufacture of crude coconut oil and palm oil
10402,Manufacture of refined coconut oil and palm oil
10403,Manufacture of margarine and other edible oils
10404,Manufacture of inedible oils and fats
10409,Manufacture of vegetable and animal oils and fats n.e.c.
10501,Manufacture of condensed and evaporated milk (including pasteurising and bottling of fluid milk)
10502,Manufacture of milk powder
10503,Manufacture of ice-cream
10509,"Manufacture of dairy products n.e.c. (eg butter, cheese, ice-cream mixes and powder, yoghurt)"
10611,Rice milling
10612,Wheat milling
10613,Processing of pepper seeds
10614,Provision of milling services
10619,"Manufacture of grain mill products n.e.c. (eg pop corn, pulse preparation, rolled oats)"
10620,Manufacture of starches and starch products
10711,Manufacture of biscuits (including wafers and cones)
10712,"Manufacture of bread, cakes and confectionery"
10719,Manufacture of bakery products n.e.c.
10720,Manufacture of sugar and sugar products
10731,Manufacture of cocoa and chocolate powder from beans
10732,Manufacture of chocolate and chocolate products
10733,"Manufacture of non-chocolate confectionery (eg sweets, toffees, crystalised fruits, chewing gums)"
10740,"Manufacture of macaroni, noodles, vermicelli and other related products"
10750,Manufacture of cooked-food preparations (eg frozen dinners)
10761,Manufacture of instant beverages
10762,Processing of coffee seeds
10763,Manufacture of coffee powder
10764,Manufacture of tea (including processing of tea leaves)
10765,Manufacture of non-dairy creamer
10791,"Manufacture of sauces including soya bean sauce (eg tomato sauce, chilli sauce)"
10792,Manufacture of soya bean products except soya bean sauce and soya bean milk
10793,Manufacture and processing of spices (including curry powder and spice extracts)
10794,"Manufacture of chips, crackers and other titbits (excluding biscuits and confectionery) "
10799,Manufacture of other food products n.e.c. (except food chemicals and additives)
10800,Manufacture of prepared animal feeds (including additives for animal feed)
11010,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials (including samsu and chinese liquors)"
11020,Manufacture of wines
11030,Manufacture of malt liquors and malt (eg beer and stout)
11041,"Manufacture of soft drinks, production of mineral waters (including carbonated waters, soya bean milk, barley water, chrysanthemum water)"
11042,"Manufacture of cordials, syrups and composite concentrates for beverages"
11043,Manufacture of ice except dry ice
12001,Manufacture of cigarettes
12009,"Manufacture of tobacco products n.e.c. (eg cigars, chinese tobacco)"
13100,"Spinning, weaving and finishing of textiles"
13910,Manufacture of knitted and crocheted fabrics and laces
13921,"Manufacture of curtains, pillow cases, bed sheets and bed spreads"
13922,"Manufacture of other made-up house furnishings (eg napkins, table cloths)"
13929,"Manufacture of made-up textile articles except apparel n.e.c. (eg scrolls, flags and sails, banners, canvas products, cushions, pillows)"
13930,Manufacture of carpets and rugs
13940,"Manufacture of cordage, rope, twine and netting"
13990,Manufacture of other textiles n.e.c. (eg upholstery filling)
14101,Manufacture of outer garments
14102,Manufacture of brassieres and other undergarments
14103,Tailoring and dressmaking (to individual order)
14109,"Manufacture of wearing apparel except fur apparel n.e.c. (eg songkoks, caps, gloves and mittens, garters, handkerchiefs, raincoats, shawls and hair nets)"
14200,"Manufacture of fur apparel and articles of fur (eg fur rugs, mats and cushions)"
14301,"Manufacture of socks, stockings and other hosiery"
14302,"Manufacture of briefs, singlets and other knitted or crocheted wear (eg pullovers, cardigans) "
14309,Manufacture of knitted and crocheted apparel n.e.c.
15110,Tanning and dressing of leather; dressing and dyeing of fur
15121,"Manufacture of luggage, bags, brief cases and the like"
15122,Manufacture of handbags
15129,"Manufacture of saddlery, harness and articles of leather n.e.c. (eg coin purses, key cases)"
15200,Manufacture of footwear
16101,Sawmilling
16102,Preservation of wood
16109,Sawmilling and planing of wood n.e.c.
16211,Manufacture of plywood and veneer sheets
16219,"Manufacture of laminboard, particle board and other panels and boards n.e.c."
16221,Manufacture of prefabricated wooden building structures (including parquet flooring)
16222,Manufacture of moulded wooden products
16229,Manufacture of builders' carpentry and joinery n.e.c.
16230,Manufacture of wooden containers
16291,Manufacture of coffins
16292,Manufacture of household and kitchen wooden ware except wooden footwear
16293,Manufacture of attap and attap products
16294,Rattan processing
16299,"Manufacture of other products of wood and articles of cork, straw and plaiting materials n.e.c."
17010,"Manufacture of pulp, paper and paperboard"
17021,Manufacture of corrugated paper and paperboard
17022,Manufacture of containers and boxes of paper and paperboard
17091,Manufacture of joss paper and other related ceremonial paper products (including effigies and other funeral paper goods and chinese lanterns)
17092,"Manufacture of sanitary towels, toilet paper, paper towels, disposable diapers and related paper products"
17093,"Manufacture of paper cups, plates and utensils"
17094,"Manufacture of cards, envelopes and stationery, unprinted"
17099,"Manufacture of other articles of paper and paperboard n.e.c. (eg papier mache, wallpaper)"
18111,Printing of newspapers
18112,"Printing of periodicals, books and magazines"
18113,"Commercial printing (eg printing of brochures, cards, envelopes, labels and stationery) "
18114,Printing of continuous and fan-fold forms
18115,Silk screen printing (including metal printing)
18119,Printing n.e.c.
18121,Bookbinding (eg book packaging)
18122,Typesetting
18123,Colour separation
18129,Service activities related to printing n.e.c. (including plate-making)
18200,"Reproduction of recorded media (including reproduction of phonograph records, recorded magnetic tapes, compact discs and non-customised software)"
19100,Manufacture of coke oven products
19201,Petroleum refineries
19202,Manufacture of petroleum lubricating oil
19209,Manufacture of refined petroleum products n.e.c.
20111,Manufacture of industrial gases and dry ice
20112,Manufacture of basic industrial acids and alkalis
20113,Manufacture of basic chemicals except fertilisers and nitrogen
20114,Manufacture of solvents
20119,Manufacture of basic chemicals n.e.c.
20120,Manufacture of fertilisers and nitrogen compounds
20131,"Manufacture of petrochemical primary products (eg olefins, aromatics, basic building blocks) "
20132,"Manufacture of derivatives and intermediates produced from basic building blocks (eg acetyls, acrylics, oxochemicals, styrenirs, phenolics, ethylene oxide derivatives and polymers)"
20133,Manufacture of synthetic rubber
20210,"Manufacture of pesticides and other agro-chemical products (including insecticides, herbicides and disinfectants)"
20221,Manufacture of paints
20222,Manufacture of varnishes and lacquers (including enamels)
20229,"Manufacture of paints, varnishes and similar coatings and mastics n.e.c."
20231,"Manufacture of soap, detergents, washing and other cleaning preparations"
20232,Manufacture of perfumes and fragrances
20233,Manufacture of cosmetics and toiletries
20234,Manufacture of waxes and polishes and deodorising preparations
20241,"Manufacture of food chemicals and additives (eg flavours, preservatives and colourings)"
20242,Manufacture of additives for mineral oil (eg lubricant and fuel additives)
20249,Manufacture of additives n.e.c.
20291,Manufacture of epoxy moulding compounds and phenolic moulding compounds
20292,"Manufacture of ultrapure electronic chemicals, materials and laminates"
20293,"Manufacture of water treatment, waste treatment and oilfield chemicals"
20294,"Manufacture of inks, dyestuffs, pigments and carbon black"
20295,"Manufacture of photographic film, paper, plate and chemicals "
20296,Manufacture of adhesives and sealants
20297,Manufacture of catalysts and catalyst regeneration
20298,Manufacture of biofuels
20299,"Manufacture of other chemical products n.e.c. (eg gelatin and derivatives, laundry blue, explosives, processed salts, industrial starch, incense and joss sticks, camphor products)"
20300,Manufacture of man-made fibres except glass
21011,Manufacture of pharmaceutical intermediates and fine chemicals for human use
21012,Manufacture of pharmaceutical products and preparations for human use (eg tableted products)
21013,Manufacture of pharmaceutical intermediates and fine chemicals for veterinary use
21014,Manufacture of pharmaceutical products and preparations for veterinary use
21021,Manufacture of vaccines for human use
21022,Manufacture of other biological products and preparations for human use
21023,Manufacture of biological products and preparations for veterinary use
21030,Manufacture of traditional chinese medicine
22111,Processing of rubber (including processing of rubber latex)
22112,Grading and packing of rubber
22119,"Processing of natural gums n.e.c. (eg gum damar, jelutong)"
22121,Manufacture of tyres and tubes
22122,Retreading and vulcanising of tyres
22191,Manufacture of foam rubber products (excluding foam rubber mattresses)
22192,Manufacture of rubber automotive parts
22193,Manufacture of industrial and mechanical rubber goods
22194,Manufacture of rubber floorings
22199,Manufacture of other rubber products n.e.c. (except rubber footwear and toys)
22211,"Manufacture of plastic tableware, household and kitchen ware (excluding disposable utensils)"
22212,Manufacture of styrofoam and plastic disposable utensils
22213,"Manufacture of plastic sheet, film and articles thereof (eg polythene and polypropylene bags)"
22214,"Manufacture of plastic bottles, boxes and containers (except for household use)"
22215,Manufacture of plastic pipes and tubes
22216,Manufacture of plastic precision engineering parts
22217,"Manufacture of pvc files, holders and albums"
22218,Manufacture of plastic cable ties
22219,Manufacture of plastic products n.e.c. (except plastic footwear and toys)
22220,Plastic product services
23100,Manufacture of glass and glass products (including yarn of glass fibres)
23911,Manufacture of bricks
23912,"Manufacture of tiles, pipes and channels (including clay roofing, wall and floor tiles, and earthen and glazed pipes)"
23919,Manufacture of clay products n.e.c.
23931,"Manufacture of plumbing fixtures and fittings of vitreous china, china and earthenware (eg sinks, closets, bowls)"
23939,Manufacture of other porcelain and ceramic products n.e.c.
23940,"Manufacture of cement, lime and plaster"
23951,Manufacture of ready-mix concrete
23959,"Manufacture of articles of concrete, cement and plaster n.e.c. (except precast concrete components)"
23960,"Cutting, shaping and finishing of stone (including tomb-stones and furniture of stone or marble)"
23991,Manufacture of asbestos products except asbestos paper
23992,Manufacture of fibreglass and fibreglass products
23993,"Manufacture of other insulation products (eg ceramic ic packages, refractory materials, rockwool products, insulation services)"
23994,"Manufacture of non-structural pre-cast components (eg lightweight partitions, secondary roof slabs)"
23995,Manufacture of asphalt premix
23999,Manufacture of other non-metallic mineral products n.e.c. (eg graphite products)
24101,Iron and steel rolling mills
24102,Manufacture of ferrous metal alloys
24109,Manufacture of basic iron and steel n.e.c. (including smelting)
24201,Tin smelting
24202,Manufacture of non-ferrous metal alloys
24209,Manufacture of basic precious and non-ferrous metals n.e.c.
24310,Iron and steel foundries
24320,Non-ferrous metal foundries
25111,"Manufacture of metal doors, window and door frames, grilles and gratings"
25112,Manufacture of metal strips and slabs (eg awnings)
25113,Manufacture of pipes and tubes
25114,Manufacture of steel structural component
25119,"Manufacture of structural metal products n.e.c. (eg metal sections, corrugated sheets)"
25120,"Manufacture and repair of tanks, reservoirs and containers of metal (eg metal cylinders, storage vessels and containers for compressed or liquefied gas) "
25131,"Manufacture and repair of heating boilers, radiators and correctors (including parts)"
25139,Manufacture and repair of steam generators n.e.c. (except central heating hot water boilers)
25200,Manufacture and repair of weapons and ammunition (eg ordnance and accessories)
25911,Iron and steel and non-ferrous forgings
25912,Manufacture of metal caps (eg crown corks)
25913,Manufacture of leadframe
25914,Metal stampings except metal caps
25915,Die-casting
25919,Pressing and roll-forming of metal and powder metallurgy n.e.c.
25921,Electroplating and plating of metals and formed products
25922,Polishing of metals and formed products
25923,Rustproofing of metals and formed products
25924,Heat treatment for metals
25929,Metal product services n.e.c.
25931,"Manufacture of table, kitchen and other cutlery"
25932,Manufacture of hand and edge tools
25939,"Manufacture of general hardware (including blacksmith shops) n.e.c. (eg locks and keys, hinges, clamps, hooks)"
25941,"Manufacture of uninsulated wire (eg electronic component wire, bonding wire) "
25949,Manufacture of metal wire and cable products n.e.c.
25951,Manufacture of tinplate cans
25952,"Manufacture of other tinplate and zinc articles (eg pails, buckets, dustbins)"
25959,"Manufacture of metal cans, containers and related products n.e.c. (eg barrels, steel drums, kegs)"
25991,Manufacture of sanitary ware of enamelled iron and metal and plumbers' ware of brass
25992,"Manufacture of plumbing, heating and related products (including parts) except electric"
25993,"Manufacture of bolts, nuts, rivets, fasteners and screw machine products"
25994,Manufacture of pipe fittings
25995,Manufacture of springs
25996,"Manufacture of kitchen and household utensils (eg steel shelf, showcase counters, kitchen trolleys display racks, sink bowls and other customised kitchen equipment)"
25997,Manufacture of metal precision components
25998,"Slitting, shearing and pasting of metal sheeting"
25999,Manufacture of other fabricated metal products n.e.c. (including voice coil magnets)
26111,"Manufacture of discrete devices (eg diodes, light-emitting diodes, transistors and rectifiers)"
26112,Semiconductor wafer fabrication
26113,Assembly and testing of semiconductors
26114,Manufacture of solar wafers
26115,Manufacture of solar cells
26119,Manufacture of semiconductor devices n.e.c.
26121,Manufacture of capacitors
26122,Manufacture of resistors
26123,Manufacture of printed circuit boards without electronic parts
26124,Manufacture of printed circuit boards with electronic parts
26125,"Manufacture of piezo-electric devices (eg quartz crystals, quartz crystal filters, delay lines)"
26126,Manufacture of electronic display devices except light emitting diodes
26127,Manufacture of electronic connectors
26129,Manufacture of other electronic components and boards n.e.c.
26201,Manufacture of computers and data processing equipment except computer peripheral equipment
26202,"Manufacture of disk drives (including cd-rom drives, dvd-rom drives, optical drives, flash drives, tape drives, solid state drives, storage subsystems)"
26203,Manufacture of printers
